,datadate,turbulence
724,2018-05-16,69.12624146563087
725,2018-05-17,79.02419547002845
726,2018-05-18,76.16864089652334
727,2018-05-21,82.53181855391698
728,2018-05-22,76.05826704449284
729,2018-05-23,69.63608972951704
730,2018-05-24,61.647575002603375
731,2018-05-25,69.90277998027504
732,2018-05-29,73.85387975725921
733,2018-05-30,72.0179696628872
734,2018-05-31,67.9762613212441
735,2018-06-01,77.06506734173655
736,2018-06-04,87.04440308204515
737,2018-06-05,79.42129505876174
738,2018-06-06,88.39125736099832
739,2018-06-07,65.22348455483731
740,2018-06-08,63.29655133267629
741,2018-06-11,60.31632232498523
742,2018-06-12,60.351226746164336
743,2018-06-13,52.73327547906315
744,2018-06-14,68.37019610088345
745,2018-06-15,77.54272450354031
746,2018-06-18,74.4163702086746
747,2018-06-19,73.48966957715194
748,2018-06-20,78.05455614936172
749,2018-06-21,88.61757546207522
750,2018-06-22,74.15579877286807
751,2018-06-25,78.31983717922941
752,2018-06-26,85.77783039932595
753,2018-06-27,91.6544364215032
754,2018-06-28,98.26045794207208
755,2018-06-29,100.69642346563407
756,2018-07-02,79.74216976358213
757,2018-07-03,74.250039172553
758,2018-07-05,70.69708923953154
759,2018-07-06,62.91040712077172
760,2018-07-09,54.34869095600182
761,2018-07-10,52.13611808943344
762,2018-07-11,73.2739004045554
763,2018-07-12,69.06643939426779
764,2018-07-13,77.2576611783729
765,2018-07-16,78.87464571854461
766,2018-07-17,93.74673274818737
767,2018-07-18,90.24186372876476
768,2018-07-19,73.57242050672504
769,2018-07-20,86.4909017154478
770,2018-07-23,104.28764164665327
771,2018-07-24,100.60698970524226
772,2018-07-25,105.7589325236465
773,2018-07-26,83.16119391158414
774,2018-07-27,109.74053818705848
775,2018-07-30,111.90722291414055
776,2018-07-31,111.04014338646121
777,2018-08-01,126.20349248054825
778,2018-08-02,118.63836866311846
779,2018-08-03,119.82191436847506
780,2018-08-06,114.88729718615126
781,2018-08-07,90.54445340065853
782,2018-08-08,87.50128134755055
783,2018-08-09,79.1617160807295
784,2018-08-10,77.57527891449531
785,2018-08-13,67.88198437913358
786,2018-08-14,74.720245184601
787,2018-08-15,70.50945524581961
788,2018-08-16,80.72444946956401
789,2018-08-17,80.03456388190882
790,2018-08-20,81.11200081841146
791,2018-08-21,63.9843164069079
792,2018-08-22,66.94805250118691
793,2018-08-23,59.311087113044245
794,2018-08-24,54.625158999123116
795,2018-08-27,51.28699699076418
796,2018-08-28,56.626842455127914
797,2018-08-29,70.58384775434122
798,2018-08-30,76.69668022609142
799,2018-08-31,82.86285081463957
800,2018-09-04,75.15472502655518
801,2018-09-05,56.08533176803774
802,2018-09-06,50.353134672574754
803,2018-09-07,61.017958811798664
804,2018-09-10,66.78578424521008
805,2018-09-11,88.56484388019074
806,2018-09-12,85.36046329805806
807,2018-09-13,70.37968703329159
808,2018-09-14,73.26384892352252
809,2018-09-17,60.99945073065037
810,2018-09-18,66.62627980196432
811,2018-09-19,63.52484823358446
812,2018-09-20,65.06095111425614
813,2018-09-21,66.55169003253805
814,2018-09-24,62.86562946817792
815,2018-09-25,74.81401680717109
816,2018-09-26,69.85752134386765
817,2018-09-27,70.54030521026394
818,2018-09-28,64.91594174584829
819,2018-10-01,73.48879544643238
820,2018-10-02,67.56821568162692
821,2018-10-03,72.716126066457
822,2018-10-04,70.72517893056812
823,2018-10-05,70.03750890838005
824,2018-10-08,81.385461357994
825,2018-10-09,111.16148164159918
826,2018-10-10,98.55904291833008
827,2018-10-11,72.4880973291859
828,2018-10-12,69.72142829183018
829,2018-10-15,59.08046479973305
830,2018-10-16,63.687785806033794
831,2018-10-17,85.70902194269819
832,2018-10-18,104.60384739478357
833,2018-10-19,125.80048686859271
834,2018-10-22,119.02859567831206
835,2018-10-23,199.5737075169625
836,2018-10-24,215.15049518438195
837,2018-10-25,158.51684441086218
838,2018-10-26,135.7841008289641
839,2018-10-29,124.95607635311481
840,2018-10-30,184.99245261857672
841,2018-10-31,132.102473915224
842,2018-11-01,117.52200301624302
843,2018-11-02,107.49505436192798
844,2018-11-05,103.67827369830006
845,2018-11-06,90.48537809870398
846,2018-11-07,81.92409737944479
847,2018-11-08,85.48945531585407
848,2018-11-09,84.09420295027688
849,2018-11-12,107.95069282131388
850,2018-11-13,136.1372661248917
851,2018-11-14,133.04892231287428
852,2018-11-15,157.22526960928272
853,2018-11-16,150.950717384442
854,2018-11-19,161.63418366726438
855,2018-11-20,134.02323562427227
856,2018-11-21,120.54021625614352
857,2018-11-23,119.94513068379364
858,2018-11-26,127.94212822164124
859,2018-11-27,126.54354955518684
860,2018-11-28,116.01205019929631
861,2018-11-29,116.60637028654324
862,2018-11-30,119.60219919028616
863,2018-12-03,97.91071129701986
864,2018-12-04,80.80332210319017
865,2018-12-06,89.01214058717267
866,2018-12-07,69.45582787432808
867,2018-12-10,75.48747360985159
868,2018-12-11,83.30629685914401
869,2018-12-12,85.97521470931564
870,2018-12-13,84.31815256477202
871,2018-12-14,126.20300593217456
872,2018-12-17,112.05822854870515
873,2018-12-18,81.0601174440401
874,2018-12-19,98.03157037471156
875,2018-12-20,103.01006928473623
876,2018-12-21,125.973985161772
877,2018-12-24,113.29734899828723
878,2018-12-26,99.63842076508526
879,2018-12-27,108.04274935698251
880,2018-12-28,102.0270127948264
881,2018-12-31,98.08323232866307
882,2019-01-02,83.75480418259394
883,2019-01-03,82.81045714900466
884,2019-01-04,84.36014456584415
885,2019-01-07,87.16348478522967
886,2019-01-08,80.96513376907484
887,2019-01-09,82.44254874977955
888,2019-01-10,75.08045585616267
889,2019-01-11,64.22766963928922
890,2019-01-14,54.67163426671731
891,2019-01-15,47.091927655168526
892,2019-01-16,60.42015410033117
893,2019-01-17,66.65437628369968
894,2019-01-18,65.41952486220084
895,2019-01-22,73.33222643424861
896,2019-01-23,89.14734501376525
897,2019-01-24,84.08688878829822
898,2019-01-25,75.42830304787219
899,2019-01-28,85.81287978733026
900,2019-01-29,80.0255369653953
