timestamp,close,open,high,low,volume
2020-04-16,279.1000,279.1500,280.0300,275.7600,126144324
2020-04-17,286.6400,285.3800,287.3000,282.4000,146455688
2020-04-20,281.5900,282.6100,286.7900,281.3500,99323028
2020-04-21,273.0400,276.7300,278.0400,272.0200,125772551
2020-04-22,279.1000,278.3500,281.0000,276.9100,92831657
2020-04-23,279.0800,280.4900,283.9400,278.7500,103685412
2020-04-24,282.9700,280.7300,283.7000,278.5000,85042563
2020-04-27,287.0500,285.1200,288.2700,284.6200,77516422
2020-04-28,285.7300,291.0200,291.4000,285.4000,104797847
2020-04-29,293.2100,291.5300,294.8800,290.4100,118066585
2020-04-30,290.4800,291.7100,293.3200,288.5900,121537052
2020-05-01,282.7900,285.3100,290.6600,281.5200,125045778
2020-05-04,283.5700,280.7400,283.9000,279.1300,80462952
2020-05-05,286.1900,286.6400,289.2500,283.7100,79199214
2020-05-06,284.2500,288.0400,288.4600,283.7800,72980387
2020-05-07,287.6800,287.7500,289.7800,287.1300,74788296
2020-05-08,292.4400,291.0900,292.9500,289.8600,76446082
2020-05-11,292.5000,290.3400,294.0000,289.8800,78982891
2020-05-12,286.6700,293.7900,294.2400,286.5200,94484342
2020-05-13,281.6000,286.0600,287.1900,278.9600,144035915
2020-05-14,284.9700,278.9500,285.1100,272.9900,121473094
2020-05-15,286.2800,282.3700,286.3300,281.3400,111015834
2020-05-18,295.0000,293.0500,296.7500,292.7000,119719465
2020-05-19,291.9700,294.3500,296.2100,291.9500,94317356
2020-05-20,296.9300,295.8200,297.8700,295.5700,85279592
2020-05-21,294.8800,296.7900,297.6700,293.6900,77863922
2020-05-22,295.4400,294.5700,295.6300,293.2200,63697627
2020-05-26,299.0800,301.9300,302.1900,295.4600,88604807
2020-05-27,303.5300,302.1200,303.5700,296.8700,104086252
2020-05-28,302.9700,304.6500,306.8400,302.2400,90232213
2020-05-29,304.3200,302.4600,304.9600,299.4700,119067393
2020-06-01,305.5500,303.6200,306.2100,303.0600,55696013
2020-06-02,308.0800,306.5500,308.1300,305.1000,73635043
2020-06-03,312.1800,310.2400,313.2200,309.9400,91750087
2020-06-04,311.3600,311.1100,313.0000,309.0800,75471787
2020-06-05,319.3400,317.2300,321.2700,317.1600,150302461
2020-06-08,323.2000,320.2200,323.4100,319.6300,73310274
2020-06-09,320.7900,320.3000,323.2800,319.3600,77174695
2020-06-10,319.0000,321.4200,322.3900,318.2200,93944722
2020-06-11,300.6100,311.4600,312.1500,300.0100,208285190
2020-06-12,304.2100,308.2400,309.0800,298.6000,194450402
2020-06-15,307.0500,298.0200,308.2800,296.7400,134968796
2020-06-16,312.9600,315.4800,315.6400,307.6700,137048347
2020-06-17,311.6600,314.0700,314.3900,310.8600,82814592
2020-06-18,311.7800,310.0100,312.3000,309.5100,80355844
2020-06-19,308.6400,314.1700,314.3800,306.5300,135211345
2020-06-22,310.6200,307.9900,311.0500,306.7500,74007212
2020-06-23,312.0500,313.4900,314.5000,311.6100,68066900
2020-06-24,304.0900,309.8400,310.5100,302.1000,132067392
2020-06-25,307.3500,303.4700,307.6400,301.2800,88966079
2020-06-26,300.0500,306.1600,306.3900,299.4200,127811745
2020-06-29,304.4600,301.4100,304.6100,298.9300,79773260
2020-06-30,308.3600,303.9900,310.2000,303.8200,112828251
2020-07-01,310.5200,309.5700,311.8900,309.0700,71910372
2020-07-02,312.2300,314.2400,315.7000,311.5100,69214995
2020-07-06,317.0500,316.3700,317.6800,315.5600,61149258
2020-07-07,313.7800,315.3800,317.5200,313.3700,82583406
2020-07-08,316.1800,314.6100,316.3000,312.7000,54202602
2020-07-09,314.3800,316.8400,317.1000,310.6800,83079092
2020-07-10,317.5900,314.3100,317.8800,312.7600,57454436
2020-07-13,314.8400,320.1300,322.7100,314.1300,102549097
2020-07-14,318.9200,313.3000,319.7600,312.0000,92791839
2020-07-15,321.8500,322.4100,323.0400,319.2700,86921534
2020-07-16,320.7900,319.7900,321.2800,319.0900,54433414
2020-07-17,321.7200,321.8800,322.5700,319.7400,64421802
2020-07-20,324.3200,321.4300,325.1300,320.6200,56150230
2020-07-21,325.0100,326.4500,326.9300,323.9400,57245315
2020-07-22,326.8600,324.6200,327.2000,324.5000,57792915
2020-07-23,322.9600,326.4700,327.2300,321.4800,75737989
2020-07-24,320.8800,320.9500,321.9900,319.2460,73766597
2020-07-27,323.2200,321.6300,323.4100,320.7750,48292970
2020-07-28,321.1700,322.4300,323.6400,320.8500,57494979
2020-07-29,325.1200,322.1200,325.7300,322.0750,48454159
2020-07-30,323.9600,321.9000,324.4100,319.6400,61861714
2020-07-31,326.5200,325.9000,326.6300,321.3300,85210755
2020-08-03,328.7900,328.3200,329.6200,327.7300,53077948
2020-08-04,330.0600,327.8600,330.0600,327.8600,41917893
2020-08-05,332.1100,331.4700,332.3900,331.1800,42866354
2020-08-06,334.3300,331.4799,334.4600,331.1300,43679447
2020-08-07,334.5700,333.2800,334.8800,332.3000,57308270
2020-08-10,335.5700,335.0600,335.7700,332.9550,44282089
2020-08-11,332.8000,336.8500,337.5400,332.0100,69601087
2020-08-12,337.4400,335.4400,338.2800,332.8377,53826128
2020-08-13,336.8300,336.6100,338.2514,335.8300,41816146
2020-08-14,336.8400,336.4100,337.4200,335.6200,47260390
2020-08-17,337.9100,337.9400,338.3400,336.8517,34496002
2020-08-18,338.6400,338.3400,339.1000,336.6100,38733908
2020-08-19,337.2300,339.0500,339.6100,336.6200,68054244
2020-08-20,338.2800,335.3600,338.8000,335.2200,42207826
2020-08-21,339.4800,337.9200,339.7200,337.5500,55106628
2020-08-24,342.9200,342.1200,343.0000,339.4504,48588662
2020-08-25,344.1200,343.5300,344.2100,342.2700,38463381
2020-08-26,347.5700,344.7600,347.8600,344.1700,50790237
2020-08-27,348.3300,348.5100,349.9000,346.5300,58034142
2020-08-28,350.5800,349.4400,350.7200,348.1500,48588940
2020-08-31,349.3100,350.3500,351.3000,349.0600,66099183
2020-09-01,352.6000,350.2100,352.7100,349.2400,54999325
2020-09-02,357.7000,354.6700,358.7500,353.4300,69540035
